# code name : Parallel Tempering for 2D Ferromagnetic Ising Model
# author : Andrew Noble
# version : v0.1
# inspired by : Prof. Helmut Katzgraber

# system size : 20
# number of spins : 400
# space dimension : 2
# lattice coordination number : 4
# process ID : 12523
# hostname : Andrews-MacBook-Pro-4.local
# job start : Sun Mar  1 23:14:55 2020

# temperature set
# | 0.10
# | 0.13
# | 0.16
# | 0.20
# | 0.25
# | 0.32
# | 0.40
# | 0.50
# | 0.63
# | 0.79
# | 1.00
# | 1.26
# | 1.58
# | 2.00
# | 2.51
# | 3.16
# | 3.98
# | 5.01
# | 6.31
# | 7.94
# | 10.00

# T MCS <energy> <m>
0.2000 8000 -2.0000 1.0000
0.2500 8000 -2.0000 1.0000
0.3200 8000 -2.0000 1.0000
0.4000 8000 -2.0000 1.0000
0.5000 8000 -2.0000 1.0000
0.6300 8000 -2.0000 1.0000
0.7900 8000 -2.0000 1.0000
1.0000 8000 -2.0000 1.0000
1.2600 8000 -2.0000 1.0000
1.5800 8000 -1.9800 0.9950
2.0000 8000 -1.6800 0.8850
2.5100 8000 -1.2100 0.1150
3.1600 8000 -0.8700 0.0900
3.9800 8000 -0.6700 0.1400
5.0100 8000 -0.4900 0.0150
6.3100 8000 -0.3200 0.0100
7.9400 8000 -0.2500 0.0150
10.0000 8000 -0.2300 0.0950

0.1000 9000 -2.0000 1.0000
0.1300 9000 -2.0000 1.0000
0.1600 9000 -2.0000 1.0000
0.2000 9000 -2.0000 1.0000
0.2500 9000 -2.0000 1.0000
0.3200 9000 -2.0000 1.0000
0.4000 9000 -2.0000 1.0000
0.5000 9000 -2.0000 1.0000
0.6300 9000 -2.0000 1.0000
0.7900 9000 -2.0000 1.0000
1.0000 9000 -2.0000 1.0000
1.2600 9000 -1.9800 0.9950
1.5800 9000 -1.9800 0.9950
2.0000 9000 -1.7500 0.8900
2.5100 9000 -1.3800 0.7050
3.1600 9000 -0.7700 0.0300
3.9800 9000 -0.5500 0.0000
5.0100 9000 -0.4200 0.0100
6.3100 9000 -0.3400 0.0000
7.9400 9000 -0.1800 0.0500
10.0000 9000 -0.2900 0.0000

0.1000 10000 -2.0000 1.0000
0.1300 10000 -2.0000 1.0000
0.1600 10000 -2.0000 1.0000
0.2000 10000 -2.0000 1.0000
0.2500 10000 -2.0000 1.0000
0.3200 10000 -2.0000 1.0000
0.4000 10000 -2.0000 1.0000
0.5000 10000 -2.0000 1.0000
0.6300 10000 -2.0000 1.0000
0.7900 10000 -2.0000 1.0000
1.0000 10000 -2.0000 1.0000
1.2600 10000 -1.9600 0.9900
1.5800 10000 -1.9500 0.9850
2.0000 10000 -1.7600 0.9300
2.5100 10000 -1.0300 0.1200
3.1600 10000 -0.8300 0.1400
3.9800 10000 -0.5500 0.0400
5.0100 10000 -0.3100 0.0000
6.3100 10000 -0.2000 0.1600
7.9400 10000 -0.0500 0.0400
10.0000 10000 -0.4400 0.0250

0.1000 11000 -2.0000 1.0000
0.1300 11000 -2.0000 1.0000
0.1600 11000 -2.0000 1.0000
0.2000 11000 -2.0000 1.0000
0.2500 11000 -2.0000 1.0000
0.3200 11000 -2.0000 1.0000
0.4000 11000 -2.0000 1.0000
0.5000 11000 -2.0000 1.0000
0.6300 11000 -2.0000 1.0000
0.7900 11000 -2.0000 1.0000
1.0000 11000 -2.0000 1.0000
1.2600 11000 -2.0000 1.0000
1.5800 11000 -1.9800 0.9950
2.0000 11000 -1.8600 0.9550
2.5100 11000 -1.6300 0.8450
3.1600 11000 -0.7200 0.2500
3.9800 11000 -0.4800 0.1400
5.0100 11000 -0.4200 0.0100
6.3100 11000 -0.2700 0.1150
